Beauhurst URL,Company name,Companies House Number,Incorporation date,Current Stage of Evolution,Date of the company's exit or death,Exit price
https://platform.beauhurst.com/company/wdxkhg/,The Care Division,5705303,10/02/2006,Exited,08/03/2016,
https://platform.beauhurst.com/company/9nrwwa/,Weight Wins,2998091,05/12/1994,Dead,07/04/2016,0
https://platform.beauhurst.com/company/emfq9f/,WhatUsersDo,6778056,22/12/2008,Exited,11/01/2018,
https://platform.beauhurst.com/company/at8hw5/,Interactive Investor,4752535,02/05/2003,Exited,05/06/2017,
https://platform.beauhurst.com/company/jzaybv/,Onyx Group,7725048,31/12/1994,Exited,17/10/2011,
https://platform.beauhurst.com/company/dimr52/,PrivateFly,5442028,03/05/2005,Exited,19/09/2018,
https://platform.beauhurst.com/company/h74jtz/,Sirigen Group,6420732,07/11/2007,Exited,29/08/2012,
https://platform.beauhurst.com/company/aqm48w/,Plaxica,6660089,30/07/2008,Dead,31/12/2017,0
https://platform.beauhurst.com/company/43h9yk/,Nujira,4569647,22/10/2002,Exited,06/07/2015,32043900.04
https://platform.beauhurst.com/company/gpzd2r/,TopCat Research,7226837,19/04/2010,Dead,23/10/2014,0
https://platform.beauhurst.com/company/cdtwrh/,Pulse Tidal,5532929,10/08/2005,Dead,06/09/2016,0
https://platform.beauhurst.com/company/s6x2ap/,Exco InTouch,5285980,15/11/2004,Exited,08/12/2016,
https://platform.beauhurst.com/company/i4vi2i/,Touch Bionics,SC232512,07/06/2002,Exited,11/04/2016,27500000
https://platform.beauhurst.com/company/n8jt8h/,Tantalum,8933906,06/06/1997,Dead,07/07/2020,0
https://platform.beauhurst.com/company/fc5a88/,Love Your Larder,,,Dead,19/02/2013,0
https://platform.beauhurst.com/company/ji6uym/,Aquamarine Power,SC327622,31/12/2005,Dead,05/03/2019,0
https://platform.beauhurst.com/company/qxsr2z/,ResusPod,7167269,24/02/2010,Dead,01/02/2016,0
https://platform.beauhurst.com/company/rvn8iu/,Phagenesis,6308699,10/07/2007,Exited,05/09/2016,
https://platform.beauhurst.com/company/hngq2t/,Prosonix,5679156,18/01/2006,Exited,15/05/2015,100000000
https://platform.beauhurst.com/company/aj3gr2/,WorldStores,3909772,19/01/2000,Exited,28/11/2016,8500000
https://platform.beauhurst.com/company/guhkt5/,AirSense Wireless,7184268,10/03/2010,Dead,01/11/2018,0
https://platform.beauhurst.com/company/wpuji6/,Statesman Travel Group,6258857,24/05/2007,Exited,12/05/2017,15046200
https://platform.beauhurst.com/company/ytc52q/,Molecular Solar,6769874,10/12/2008,Dead,07/05/2015,0
https://platform.beauhurst.com/company/5zkrx6/,Six Degrees Group,7473012,17/12/2010,Exited,17/06/2015,
https://platform.beauhurst.com/company/7xjfic/,Bubble & Balm,6345537,16/08/2007,Dead,21/11/2013,0
https://platform.beauhurst.com/company/rf7ix4/,Saffron Digital,4371159,11/02/2002,Exited,03/09/2013,30000000
https://platform.beauhurst.com/company/x6n382/,Bookatable,5398578,18/03/2005,Exited,11/01/2016,
https://platform.beauhurst.com/company/k98tys/,Microdat,4299819,31/12/1989,Dead,01/08/2014,0
https://platform.beauhurst.com/company/3443eu/,Scour Prevention Systems,7004281,28/08/2009,Exited,31/01/2019,
https://platform.beauhurst.com/company/g9mx7m/,Jagex,3982706,28/04/2000,Exited,09/01/2012,
https://platform.beauhurst.com/company/9zwy43/,Mirics,5046393,17/02/2004,Dead,06/11/2018,0
https://platform.beauhurst.com/company/cxeued/,Altacor,5422117,12/04/2005,Exited,06/08/2014,
https://platform.beauhurst.com/company/tgyan9/,myThings,4954943,06/11/2003,Dead,18/01/2019,0
https://platform.beauhurst.com/company/bpr9e3/,Ubiquisys,5247998,01/10/2004,Exited,24/05/2013,
https://platform.beauhurst.com/company/3ggm44/,my-wardrobe.com,4627828,03/01/2003,Dead,05/08/2014,0
https://platform.beauhurst.com/company/ufu3nq/,Careflow,6314173,16/07/2007,Exited,11/02/2016,
https://platform.beauhurst.com/company/e8excb/,Evolved Intelligence,8042928,,Exited,29/10/2018,
https://platform.beauhurst.com/company/buxw4c/,Kaptivo,5018807,19/01/2004,Dead,21/10/2016,0
https://platform.beauhurst.com/company/6jdb7f/,Handmade Mobile,5146410,07/06/2004,Exited,01/01/2015,
