,first_industry,industry_val,rounds
10,Administrative Services,,1
10,Administrative Services,0.3,2
10,Administrative Services,0.83,3
10,Administrative Services,289.84,4
0,Advertising,10.3,1
0,Advertising,0.88,2
0,Advertising,184.1,3
0,Advertising,401370.97,4
16,Agriculture and Farming,4.33,1
16,Agriculture and Farming,26.37,2
16,Agriculture and Farming,56.81,3
16,Agriculture and Farming,241.76,4
6,Apps,11.06,1
6,Apps,60.7,2
6,Apps,39.73,3
6,Apps,13.44,4
5,Artificial Intelligence,0.21,1
5,Artificial Intelligence,3.2,2
5,Artificial Intelligence,4.46,3
5,Artificial Intelligence,1.71,4
3,Biotechnology,3.8,1
3,Biotechnology,20.49,2
3,Biotechnology,3.11,3
3,Biotechnology,0.97,4
8,Commerce and Shopping,35.01,1
8,Commerce and Shopping,105.02,2
8,Commerce and Shopping,75.88,3
8,Commerce and Shopping,90.38,4
13,Community and Lifestyle,0.7,1
13,Community and Lifestyle,4.04,2
13,Community and Lifestyle,10.67,3
13,Community and Lifestyle,15.6,4
9,Consumer Electronics,229.58,1
9,Consumer Electronics,1.56,2
9,Consumer Electronics,24.88,3
9,Consumer Electronics,21.91,4
19,Consumer Goods,0.33,1
19,Consumer Goods,0.02,2
19,Consumer Goods,0.27,3
19,Consumer Goods,0.25,4
7,Data and Analytics,0.37,1
7,Data and Analytics,1.33,2
7,Data and Analytics,7.09,3
7,Data and Analytics,0.89,4
14,Design,0.19,1
14,Design,0.19,2
14,Design,0.35,3
14,Design,0.15,4
15,Financial Services,5.63,1
15,Financial Services,172.26,2
15,Financial Services,112.97,3
15,Financial Services,72.05,4
4,Food and Beverage,0.41,1
4,Food and Beverage,-94870.14,2
4,Food and Beverage,46182.31,3
4,Food and Beverage,4.15,4
12,Hardware,539.34,1
12,Hardware,8.9,2
12,Hardware,15.7,3
12,Hardware,28.66,4
2,Health Care,0.21,1
2,Health Care,0.86,2
2,Health Care,0.92,3
2,Health Care,0.78,4
11,Information Technology,3.59,1
11,Information Technology,97.31,2
11,Information Technology,296.91,3
11,Information Technology,1280.48,4
17,Internet Services,3.67,1
17,Internet Services,0.04,2
17,Internet Services,15.2,3
17,Internet Services,8.62,4
1,Manufacturing,1.47,1
1,Manufacturing,41.29,2
1,Manufacturing,-10.72,3
1,Manufacturing,11.22,4
18,Software,0.11,1
18,Software,1.05,2
18,Software,1.13,3
18,Software,0.6,4
