Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
10 Digital Media,2015/11/16,3398454,,Dead,27/11/2018,0
1066 Airsoft,2016/5/31,23668,13/05/2014,Dead,27/02/2019,0
14M Genomics,2014/12/16,5000000,09/01/2014,Dead,21/03/2016,0
1855,2017/6/30,20000,27/02/2013,Dead,20/02/2020,0
1st Impression,2013/11/22,75005,26/08/2009,Dead,16/12/2019,0
201 Software,2017/3/15,29999,04/09/2015,Dead,23/07/2019,0
201 Software,2016/10/31,29999,04/09/2015,Dead,23/07/2019,0
2BE Technology,2016/2/19,20000,18/12/2013,Dead,01/10/2019,0
2BE Technology,2015/4/2,80000,18/12/2013,Dead,01/10/2019,0
2BE Technology,2014/2/14,10000,18/12/2013,Dead,01/10/2019,0
2PAx,2016/9/12,300038,17/03/2014,Dead,11/10/2019,0
3 Kinds of Ice,2014/12/11,147381,12/05/2014,Dead,31/03/2017,0
3-Cs,2010/10/15,212223,29/06/2000,Dead,18/10/2018,0
3-Cs,2012/7/31,112500,29/06/2000,Dead,18/10/2018,0
3-Cs,2014/4/29,117250,29/06/2000,Dead,18/10/2018,0
3-Cs,2014/12/10,196000,29/06/2000,Dead,18/10/2018,0
3-Cs,2009/7/1,516250,29/06/2000,Dead,18/10/2018,0
3-Cs,2013/5/1,333882,29/06/2000,Dead,18/10/2018,0
3Rings,2016/3/10,750000,10/01/2013,Dead,01/03/2019,0
3fifteen,2013/7/8,150000,20/10/2011,Dead,05/08/2016,0
3rd Forensic,2013/3/28,140007,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2012/12/1,11000,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2016/5/16,49973,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2015/5/1,12220,27/04/2011,Dead,21/05/2019,0
3rd Forensic,2014/8/1,25041,27/04/2011,Dead,21/05/2019,0
3sun Group,2014/3/4,4419224,23/12/2008,Exited,29/10/2019,20000000
42 Juice,2015/7/27,69938,17/03/2014,Dead,11/06/2019,0
4energy,2015/12/31,3237022,29/07/2005,Dead,12/05/2017,0
4energy,2013/5/24,7105909,29/07/2005,Dead,12/05/2017,0
4energy,2016/10/21,1199618,29/07/2005,Dead,12/05/2017,0
4energy,2011/5/9,5064447,29/07/2005,Dead,12/05/2017,0
4th Aspect,2013/8/15,384000,16/03/2010,Dead,07/01/2016,0
4th Aspect,2012/3/30,189419,16/03/2010,Dead,07/01/2016,0
4x4 Aviation,2015/3/17,9996,20/11/2013,Dead,06/10/2016,0
659 Taxis of York,2010/1/2,48000,11/03/2005,Dead,03/04/2017,0
659 Taxis of York,2009/2/6,168000,11/03/2005,Dead,03/04/2017,0
8point3 LED,2014/4/5,300000,09/10/1992,Dead,21/08/2018,0
8point3 LED,2016/7/15,100000,09/10/1992,Dead,21/08/2018,0
90 Minutes,2015/3/27,40000,06/11/2012,Dead,08/02/2019,0
90 Minutes,2014/4/21,350000,06/11/2012,Dead,08/02/2019,0
99SQUARED,2014/7/22,85000,01/03/2011,Dead,24/08/2017,0
99p Shopper,2011/3/1,99999,28/10/2010,Dead,31/12/2015,0
99p Shopper,2012/3/23,25000,28/10/2010,Dead,31/12/2015,0
99p Shopper,2011/12/16,25000,28/10/2010,Dead,31/12/2015,0
A Suit That Fits,2015/9/24,881969,31/12/2006,Dead,04/04/2018,0
A Suit That Fits,2014/11/5,75000,31/12/2006,Dead,04/04/2018,0
ABeterno,2014/9/17,300000,,Dead,23/05/2018,0
ABeterno,2013/11/8,175000,,Dead,23/05/2018,0
AC Worldwide,2017/3/9,80021,01/08/2014,Dead,21/05/2019,0
AC Worldwide,2015/3/20,150000,01/08/2014,Dead,21/05/2019,0
ACAL Energy,2011/6/14,4167674,19/08/2004,Dead,18/07/2017,0
ACAL Energy,2010/5/19,1977276,19/08/2004,Dead,18/07/2017,0
ACAL Energy,2012/9/4,3238614,19/08/2004,Dead,18/07/2017,0
ADS Interactive,2016/5/27,70618,21/02/2003,Dead,04/01/2019,0
AIT,2012/11/2,66000,25/09/2012,Dead,08/08/2019,0
AJD Properties,2016/6/1,40000,23/05/2016,Dead,28/09/2017,0
AKA,2011/6/2,637503,31/12/1995,Exited,17/12/2015,17492000
ALLOW,2012/7/18,775011,17/01/2012,Dead,31/03/2013,0
AMIHO Technology,2015/2/11,600000,12/02/2013,Dead,24/07/2018,0
AMIHO Technology,2013/12/30,400000,12/02/2013,Dead,24/07/2018,0
AMP Clean Energy,2016/4/1,3257601,05/03/2010,Exited,30/11/2019,53695119
AMP Clean Energy,2017/10/31,5300010,05/03/2010,Exited,30/11/2019,53695119
AMP Clean Energy,2013/5/29,14693502,05/03/2010,Exited,30/11/2019,53695119
AMP Clean Energy,2018/11/2,17633275,05/03/2010,Exited,30/11/2019,53695119
AMR Textiles,2017/2/6,999999,15/01/2001,Dead,29/01/2019,0
ANNA,2019/10/28,1499460,27/04/2016,Exited,13/05/2020,17121124
ANNA,2019/2/5,8500575,27/04/2016,Exited,13/05/2020,17121124
APAM,2011/6/17,980100,15/06/2011,Exited,13/12/2018,18000000
ARKeX,2014/3/27,3267970,19/07/2001,Dead,27/11/2015,0
ARKeX,2013/6/27,9803920,19/07/2001,Dead,27/11/2015,0
ASK4,2012/8/28,234704,26/04/2000,Exited,27/05/2014,21500000
ATAK Promotions,2016/3/15,50000,11/09/2015,Dead,14/07/2017,0
ATEEDA,2014/5/31,749998,25/11/2005,Dead,16/05/2017,0
ATEEDA,2017/2/28,150000,25/11/2005,Dead,16/05/2017,0
ATEEDA,2016/10/3,629351,25/11/2005,Dead,16/05/2017,0
ATEEDA,2010/6/30,500004,25/11/2005,Dead,16/05/2017,0
ATEEDA,2012/5/24,1000001,25/11/2005,Dead,16/05/2017,0
ATEEDA,2015/11/19,599988,25/11/2005,Dead,16/05/2017,0
ATG Access,2013/2/20,1662648,31/12/1989,Exited,22/02/2019,22500000
ATL Protect,2015/12/11,750000,18/11/2015,Dead,19/02/2019,0
AVEQIA,2016/6/6,77000,03/12/2015,Dead,01/01/2018,0
Abgentis,2012/6/25,28000,28/02/2012,Dead,03/07/2019,0
Absynth Biologics,2013/7/18,570500,14/12/2006,Dead,25/04/2019,0
Absynth Biologics,2017/2/24,349995,14/12/2006,Dead,25/04/2019,0
Absynth Biologics,2014/6/27,2052260,14/12/2006,Dead,25/04/2019,0
Absynth Biologics,2015/11/30,203000,14/12/2006,Dead,25/04/2019,0
AccuNostics,2011/9/8,1249166,07/05/2008,Dead,06/05/2016,0
Acer Homes and Gardens,2017/8/1,100000,24/08/2012,Dead,12/08/2019,0
Acknowledge,2016/1/27,10750,14/01/2013,Dead,27/02/2019,0
Acre Events,2013/1/20,49680,27/07/2012,Dead,15/01/2019,0
ActivWireless,2013/4/14,75000,10/06/2010,Dead,02/10/2018,0
Activate Camps,2014/12/23,149993,24/02/2005,Dead,08/01/2018,0
Active,2016/6/1,1010800,03/10/2015,Dead,29/01/2019,0
Active,2017/10/2,140673,03/10/2015,Dead,29/01/2019,0
Acunu,2012/9/6,3581494,18/05/2009,Dead,05/11/2015,0
Acunu,2011/2/28,2259995,18/05/2009,Dead,05/11/2015,0
Ad Venture TV,2014/2/1,60000,20/12/2013,Dead,05/01/2017,0
Adaptive Array Systems,2013/6/28,195011,05/09/2011,Dead,20/08/2019,0
Adavow,2016/4/5,24520,02/02/2015,Dead,05/06/2018,0
Adavow,2016/1/14,53715,02/02/2015,Dead,05/06/2018,0
Adbrain,2017/4/13,12000,19/11/2012,Dead,25/10/2017,0
Adbrain,2013/7/17,1000044,19/11/2012,Dead,25/10/2017,0
Adbrain,2014/3/12,5587873,19/11/2012,Dead,25/10/2017,0
Adbrain,2016/2/17,10437038,19/11/2012,Dead,25/10/2017,0
Addictive Interactive,2011/7/29,350000,09/02/2004,Dead,25/06/2019,0
Addison Lee,2011/11/11,103000,01/04/1975,Exited,20/04/2013,300000000
Adestra,2015/2/3,21660,22/10/2004,Exited,15/12/2018,47819562.97
Adestra,2011/7/27,20970,22/10/2004,Exited,15/12/2018,47819562.97
Adestra,2017/3/31,476788,22/10/2004,Exited,15/12/2018,47819562.97
Adpoints,2011/9/15,182501,15/04/2010,Dead,01/11/2014,0
Adpoints,2014/2/24,611795,15/04/2010,Dead,01/11/2014,0
Adpoints,2014/7/30,285379,15/04/2010,Dead,01/11/2014,0
Adpoints,2013/7/1,976356,15/04/2010,Dead,01/11/2014,0
Adpoints,2012/4/1,1111302,15/04/2010,Dead,01/11/2014,0
Adrastea Cars,2013/11/15,271201,04/06/2013,Dead,24/10/2018,0
Adrastea Cars,2013/8/14,48057,04/06/2013,Dead,24/10/2018,0
Adrastea Cars,2014/8/10,82680,04/06/2013,Dead,24/10/2018,0
Adsally,2014/5/19,10001,21/10/2013,Dead,07/04/2016,0
Advanced LEDs,2012/9/26,475002,06/06/2001,Dead,17/02/2016,0
Advanced LEDs,2013/5/21,303173,06/06/2001,Dead,17/02/2016,0
Advanced LEDs,2015/3/8,533649,06/06/2001,Dead,17/02/2016,0
Advanced LEDs,2011/10/4,99995,06/06/2001,Dead,17/02/2016,0
Advanced Reheat,2017/3/30,150000,23/05/2016,Dead,27/06/2019,0
Adventures in Furniture,2011/2/28,9000,23/02/2000,Dead,08/08/2017,0
Adverdose,2015/6/18,10000,27/03/2014,Dead,08/03/2017,0
AdviFi,2016/1/6,55000,02/12/2015,Dead,02/07/2019,0
Advisor FM,2014/3/31,113832,09/11/2012,Dead,22/10/2019,0
Advisor FM,2015/7/2,158676,09/11/2012,Dead,22/10/2019,0
Advisor FM,2016/4/22,59395,09/11/2012,Dead,22/10/2019,0
Advisr,2016/10/14,849104,13/07/2016,Dead,01/07/2019,0
Aegate,2013/12/11,5397962,01/01/2003,Dead,21/08/2018,0
Aegate,2015/1/22,338413,01/01/2003,Dead,21/08/2018,0
Aegate,2015/7/16,15641976,01/01/2003,Dead,21/08/2018,0
Aegis Data,2017/6/27,1457613,10/03/2010,Dead,16/12/2019,0
Aegis Data,2016/9/2,1992000,10/03/2010,Dead,16/12/2019,0
