,founding_year,funding_numeric,is_linkedin,country_code,employee_count,description_vector,startup,name
0,2019.0,4700000.0,1,unknown,2,"[-1.0494092e-03  1.6099226e-03  2.5284053e-03 -6.6239148e-04
 -5.1362516e-04  4.7580916e-03 -2.3462311e-03 -1.2984580e-03
 -4.0801228e-03  1.8681777e-03  1.6425431e-03  9.2559756e-04
 -3.2954419e-03 -1.6438606e-03 -4.6519004e-03 -2.8728039e-04
  7.5504184e-04 -4.8359637e-03  1.7036200e-03 -2.3349239e-03
  5.2097556e-04  2.8255177e-03 -1.3536030e-03  4.7751628e-03
  1.4876486e-04 -4.8005180e-03  4.6320800e-03  4.8361290e-03
  4.6693110e-03 -3.5898441e-03  1.2339067e-03  4.5466069e-03
  1.3568586e-03  2.1674859e-03 -2.4977273e-03  1.6171992e-04
  1.1667078e-03 -3.5548180e-03 -1.1851671e-03 -2.2066325e-04
  4.5248056e-03 -3.5042712e-03  1.6011995e-03 -2.7009263e-03
 -2.1423078e-03 -1.2254742e-03 -1.6986995e-03 -4.4813054e-03
 -1.1112529e-03  2.3260296e-03 -4.9658273e-03 -2.1284563e-03
  2.1204543e-03 -4.5079011e-03 -3.3784567e-04  2.0070409e-03
  3.6857789e-03  6.0774088e-05 -3.9801537e-03  4.8315288e-03
  1.2960952e-03  9.2592539e-04  4.2506834e-03  4.9990596e-04
 -2.2708795e-03  6.7734061e-04  4.0908516e-04  2.2475785e-03
  2.7389466e-03  3.7582696e-03 -4.8343563e-03 -4.2261016e-03
 -7.3069183e-04  6.7690673e-04 -3.4315200e-03  1.5313386e-04
 -3.1561588e-03  1.5349447e-04  3.7608712e-03  3.6701430e-03
  4.4911946e-03  3.3728837e-04 -3.6310982e-03 -3.7053228e-06
 -4.8651090e-03  1.9899870e-03 -2.6070264e-03 -1.9858892e-03
  3.6483288e-03  3.2783479e-03 -1.2616039e-04  9.0520264e-04
  2.4124999e-03 -3.0647549e-03  4.9191578e-03  1.4874232e-03
 -4.2622220e-03 -4.9811117e-03  3.6142247e-03 -1.4059755e-03]",True,FamPay
4,1998.0,0.0,1,CAN,5,"[ 1.4554239e-03  2.6558102e-03 -1.1953362e-03 -1.1788297e-03
  3.4765108e-03  1.3613892e-03 -2.5468171e-05 -7.5956585e-04
  3.6749172e-03 -2.6916105e-03  3.4657724e-03 -4.9553807e-03
 -4.8270510e-03 -4.5973081e-03 -7.4574351e-04  3.0742490e-03
 -5.3178222e-04  2.2321939e-05  1.0039693e-03  3.6699325e-03
 -1.1654147e-03 -4.4291886e-03  3.9923154e-03 -4.6816962e-03
  2.9873790e-04  1.2518638e-03  3.6355215e-03 -4.3992097e-03
  1.6665780e-03 -3.4077286e-03  1.2184238e-03 -3.5481476e-03
  3.1301968e-03  3.4233772e-03 -4.6179905e-03  1.3563073e-03
 -2.8840333e-04 -5.8155775e-04  1.7303211e-03 -5.5614201e-04
 -2.3423154e-03 -3.8494268e-03  4.1607553e-03 -3.4008215e-03
  3.2894267e-03 -3.8268003e-03 -2.4781257e-03 -3.7051470e-04
 -3.9718398e-03 -2.2157477e-03 -4.8485417e-03  1.3854326e-04
 -4.0388056e-03  2.9956556e-03  8.1564963e-04  4.8079616e-03
 -9.8683243e-04 -6.9125206e-04 -2.7311319e-03 -1.1215294e-03
 -4.6114026e-05  2.9771673e-03 -2.2920967e-06  2.7867341e-03
 -3.5063457e-03 -3.5943806e-03  4.1036103e-03  1.8830538e-04
  1.6392439e-03 -3.6714436e-04 -3.2553929e-03 -2.3990171e-03
 -2.4586534e-03 -3.8669142e-03  3.1709671e-04  3.7956822e-03
  1.1028338e-03  4.0821792e-03 -2.4351401e-03 -2.8751038e-03
  1.1271798e-03 -3.3738434e-03  4.4824905e-03  1.3384097e-03
 -2.7640355e-03 -1.2261304e-03  3.1992209e-03  3.0664145e-04
  2.2604377e-03 -3.0124199e-03  2.6054948e-03  4.2940318e-04
  4.7795773e-05  2.0661617e-03  3.9536846e-03 -4.4104303e-03
  1.4560354e-03 -5.8726221e-04 -9.9859061e-04 -1.8700099e-03]",False,Maple Leaf Sports & Entertainment
11,2015.0,182400000.0,1,CAN,3,"[ 1.4509535e-03  1.3987899e-03 -1.3773963e-03  1.1062956e-03
  1.1308545e-03  3.7539410e-03  1.0643661e-04 -2.0072670e-03
 -3.8595200e-03  1.3709253e-03 -8.3973317e-04  4.8735966e-03
 -1.4171100e-03  4.5020133e-03 -4.4604633e-03 -3.5308485e-03
 -1.3271593e-03 -4.8676562e-03  3.1163429e-03  2.7984958e-03
 -1.0683882e-03 -4.9549731e-04 -2.9031497e-03  4.3326262e-03
  3.7567853e-04 -4.8306109e-03 -3.8931244e-03  9.3354762e-04
  1.8277579e-03 -2.3224144e-03  3.4427256e-03 -9.6273719e-04
 -4.2831013e-03 -4.6161874e-03  4.6484023e-03 -3.7842530e-03
 -3.7878691e-03  7.2022615e-04  1.5027708e-03 -2.8519214e-03
 -2.4082980e-03  9.9347171e-04  1.1462600e-03 -3.8892699e-03
  3.4924822e-03  3.0629968e-03  4.3554781e-03 -3.5483248e-03
 -2.5937157e-03  3.4936850e-03  2.2680938e-04  4.1418048e-03
 -1.0568977e-03  4.6072681e-03  2.5887627e-03 -4.7523743e-03
 -4.6556341e-03  1.3357491e-03 -1.5064162e-03 -4.2086039e-03
  3.8571625e-03 -2.7332127e-03 -3.4907889e-03 -4.3069012e-03
  2.2185654e-03  4.4796336e-03 -5.0442072e-04 -3.3046275e-03
  3.5579193e-03 -4.7944514e-03 -1.3722300e-03 -2.0392151e-03
  3.1130982e-03 -4.5389216e-03  1.3786226e-03  4.4580459e-04
 -1.8262178e-04  3.3966834e-03  3.0533248e-03  4.8871338e-03
 -2.4450005e-03  4.6800403e-03 -2.0736309e-03  3.8595670e-03
  2.6281417e-04 -4.5443522e-03 -3.2103944e-03 -2.2063372e-03
 -2.7474025e-03 -4.5498107e-03 -6.0036749e-04 -3.5541747e-03
  2.8397257e-03  7.1058872e-05 -8.9019269e-04  5.9013010e-04
 -3.9178808e-03 -4.5076380e-03  1.0982275e-03  2.4652218e-03]",False,ApplyBoard
13,1981.0,27000000.0,1,USA,5,"[ 3.6765509e-03 -2.2906064e-05 -4.8566400e-04 -2.9158089e-03
 -3.4179194e-03  7.6593756e-04 -4.2015510e-03 -2.4480922e-03
  3.1650995e-03 -1.0648501e-03 -3.9625932e-03 -3.1321554e-04
  2.3836696e-03 -9.4752223e-04  2.7841639e-03  2.2116094e-03
 -3.8852147e-03  2.1891303e-03  2.5442922e-03 -1.5207470e-03
  1.9770002e-03 -1.3137209e-03 -1.9604757e-03  2.5072175e-03
 -6.8054703e-04  1.4917213e-03 -1.2737107e-03  1.7275161e-03
 -4.1909846e-03 -3.0100923e-03 -8.1807910e-04  1.1713874e-03
  3.8951146e-03  3.9266343e-03  2.0108945e-03  4.2898143e-03
 -2.1739858e-03 -1.6949213e-03 -4.5692563e-04  4.2066532e-03
 -1.1149129e-03 -3.5729215e-03 -5.6044222e-04  2.0480962e-03
  2.6692313e-03 -3.9726361e-03  4.5725645e-04  9.0791343e-04
  3.3628612e-03  2.0818741e-03 -4.0713786e-03  1.7741632e-03
 -1.9350476e-03 -3.5010362e-03 -6.9370808e-04 -9.7637175e-04
 -3.1387047e-03 -3.8324513e-03 -3.1587852e-03  4.0867720e-03
  1.0803544e-03  1.9198077e-03  4.4225324e-03  3.6067779e-03
 -4.3811947e-03 -4.7570523e-03 -4.4501149e-03 -2.2350708e-03
  2.3565663e-03 -1.3874200e-03 -2.5304942e-03  4.4690608e-03
  8.2955183e-04 -7.2355004e-04  2.6536840e-03 -1.8839121e-03
  1.0284340e-03 -9.2278718e-04  4.2877393e-03  1.6722339e-03
 -5.3197029e-04 -3.1382352e-04 -1.6327825e-03  3.9736475e-03
 -3.8022387e-03  4.8208912e-03  4.2751848e-04 -2.8881449e-03
 -1.2290290e-03 -4.0510371e-03  4.8886482e-03 -3.3228048e-03
 -2.3203928e-03 -7.7234925e-04 -2.3988663e-04 -4.0451903e-03
 -2.1371490e-03 -4.4565648e-04  1.3822239e-03 -1.4282488e-03]",False,The Princeton Review
14,2006.0,6900000.0,1,USA,7,"[-4.6877153e-03  3.8509606e-03 -2.8387904e-05 -1.2367022e-03
  9.2594209e-04  1.5378523e-03 -2.5158036e-03  2.9371863e-03
  7.1045753e-05  2.6206111e-03  4.9473154e-03 -4.8392373e-03
 -4.0122573e-03 -5.8006286e-04 -3.5958982e-03  1.1635417e-03
 -1.3314367e-03  2.8244448e-03 -3.8979237e-03  4.6731397e-03
 -2.1741723e-03  4.9438776e-04  4.1590989e-04 -2.9723966e-03
 -2.9423705e-03  5.1151990e-04  3.1417352e-03  1.0832023e-03
  4.0221773e-03 -3.2732703e-03 -4.9134316e-03 -2.7449662e-03
  6.5808115e-04 -3.4318250e-03  2.6925205e-04 -1.5703917e-03
 -4.4952426e-03 -4.0048957e-04  4.8512947e-03  4.3760459e-03
 -4.1310192e-05 -4.3870760e-03  2.5121719e-03 -2.6475077e-03
  9.2682597e-04 -4.6395087e-03  4.4167954e-03  3.5006178e-03
 -4.0636789e-03 -5.5458309e-04 -3.6057443e-03  6.4422667e-04
 -4.7390340e-03  4.3845428e-03  1.0648477e-03  2.8944868e-03
  3.1960779e-03 -4.3997960e-03  2.0198547e-03  2.3907900e-03
  3.0806160e-03  9.6799969e-04  6.7483482e-04 -4.9891900e-03
 -2.7509313e-03 -6.8165752e-04  2.7663321e-03 -3.8361251e-03
 -2.9669330e-03 -2.9391926e-03  1.2568629e-03  5.7896198e-04
 -9.0107799e-04 -2.5782222e-03 -4.1065686e-03 -3.1466389e-03
 -4.1045458e-03 -2.1488266e-03  3.3359630e-03 -1.8890223e-03
  3.1637584e-03  1.5269923e-03 -7.8945071e-04 -1.7358458e-03
  3.6479693e-03 -1.7042500e-03 -1.3539875e-03 -8.1322104e-04
 -2.0455536e-03 -1.5422389e-03  4.8225494e-03  3.2918990e-04
  4.8552631e-04  4.0964042e-03 -8.3557097e-04 -2.7602136e-03
  8.6774945e-04  3.3478909e-03  2.8295422e-03 -6.3865393e-04]",False,Abbott
15,1988.0,44000000.0,1,IND,6,"[-2.6550461e-03  2.0065934e-03 -3.4300580e-03 -4.9293563e-03
 -1.3745397e-04  1.8328488e-04  2.2156059e-04  3.9330940e-03
 -1.0334265e-03  2.7814270e-03  1.4162081e-03 -1.6212639e-03
 -1.3540095e-03  7.1035087e-04 -3.5281992e-03 -9.8402565e-04
  1.8691957e-03  8.9853705e-04 -1.6254508e-03  8.2430302e-04
 -9.0416375e-05  2.4236560e-04  7.8779756e-04  3.3111990e-04
 -4.2346925e-03  3.8983952e-03 -3.6420571e-03  2.4255293e-03
 -6.4768194e-04 -1.5163296e-03 -7.2157354e-04  4.6899277e-03
 -7.3227077e-04 -9.1011374e-04 -3.2410959e-03  7.2574971e-04
  4.3277172e-03  3.6331909e-03 -2.9891438e-03  4.9403310e-04
 -4.7819968e-03  4.1486365e-03  1.8299585e-03  2.2941690e-03
  7.7894924e-04  3.5738884e-03 -2.7328094e-03  8.9780689e-05
 -6.9880305e-04  9.2904153e-04 -1.3449905e-03  4.3786834e-03
  2.4534136e-03  2.9240167e-03  1.0111796e-03 -3.8975033e-03
  3.3648007e-03 -3.4836140e-03  2.1608316e-03  1.0695988e-03
  2.9507501e-03  9.8670239e-04 -4.3054349e-03 -3.5007012e-03
  3.3699782e-03  2.6539874e-03  4.4653178e-03 -1.1371919e-03
 -3.8975161e-03  1.3469016e-03 -6.9611939e-04  1.5133977e-04
 -1.9229769e-03 -1.8592649e-03  3.2971310e-03 -2.1870346e-03
  2.6607781e-03 -3.0398413e-03 -7.7297213e-04  2.4314940e-03
 -1.8202097e-03 -3.1825209e-03  2.2278863e-03 -1.7401376e-03
 -4.4592838e-03 -3.2255023e-03 -1.5078080e-03 -1.8615025e-03
  2.3306936e-03  9.4755588e-04  4.2113746e-03 -4.6546883e-03
  1.6221326e-03 -3.9319457e-03 -6.5943180e-04  1.9173890e-03
  4.2103529e-03 -3.1173276e-03  9.4787835e-04  3.5618104e-03]",False,MT Educare
16,1951.0,35000000.0,1,USA,6,"[ 4.5884661e-03 -3.7716227e-03  2.9600607e-03 -4.5245243e-03
  1.7352724e-03  8.7746081e-04  2.4305754e-03  6.5563142e-04
 -4.8732613e-03  2.8884728e-03  1.9621693e-03  5.0162675e-05
  1.0368168e-04  4.8295935e-03  3.5527229e-04  1.6542965e-03
  5.9908630e-06 -4.3574390e-03  1.7424482e-03  3.7217587e-03
 -2.5228644e-03  3.8084984e-04 -1.3646585e-03 -5.3665577e-04
 -3.6218655e-03 -4.4811754e-03  3.8911831e-03 -2.7277350e-04
 -1.8752945e-03 -3.6166930e-03  1.5845377e-03 -4.9676285e-03
  1.6832524e-03 -3.7473480e-03 -3.9521270e-03 -4.1172691e-03
  2.0566171e-03  3.0902261e-03 -3.7937043e-03 -2.9906034e-04
 -4.4362902e-04 -3.3544411e-03  1.6681856e-03 -2.5437509e-03
 -4.6526771e-03  4.6856268e-03  1.8796510e-03  9.3043566e-04
  3.8059026e-03  1.3878781e-03  4.0140045e-03  2.7447836e-03
 -2.3635458e-03 -2.2557518e-03 -1.0694453e-03 -2.6614808e-03
  2.8182631e-03 -3.3430406e-03  9.6347096e-04 -4.1039372e-03
 -1.8344185e-03 -3.5863293e-03  2.9340379e-03  2.2905404e-03
 -1.4175415e-03 -3.0800223e-03 -2.5037148e-03 -7.7265711e-04
  1.1410445e-03  4.9450719e-03 -4.4031125e-03 -8.0691127e-04
 -1.1104632e-03 -3.4220279e-03 -4.6432512e-03 -4.9607493e-03
  4.5086872e-03  4.1337446e-03 -2.2271187e-04 -3.0306706e-03
 -4.4670682e-03  7.7177584e-04 -3.8776479e-03 -1.4356920e-03
 -1.0035336e-04  4.0461142e-03 -2.0364271e-03 -1.6399473e-03
  1.0130591e-03 -1.8105721e-03 -1.5206006e-03 -1.7422134e-03
 -1.7263362e-03  1.0382277e-03 -1.7810976e-03  4.4851340e-03
  4.1240668e-03  7.2295370e-04 -2.5068147e-03  7.5955450e-04]",False,Valley Health System (New Jersey)
17,2011.0,69000000.0,1,CHN,5,"[ 3.7424266e-03  9.9103514e-04  6.0057937e-04 -1.5821075e-03
  2.4891465e-03  3.4769357e-03  1.4333933e-03 -1.6339412e-03
 -1.1993641e-03  2.0140784e-03  2.5286239e-03 -4.6510119e-03
 -3.5456202e-03 -3.8180677e-03 -3.9675487e-03 -3.1843937e-03
 -3.5713769e-03  7.4782013e-04 -4.9892864e-03 -3.7684846e-03
  1.2382418e-03 -1.9953037e-03  4.8162173e-03  3.5008551e-03
 -4.5833308e-03  2.1372915e-03  1.7983913e-05  1.1840469e-03
 -2.2682631e-03  2.0732426e-03 -3.1813008e-03  1.1931891e-03
 -4.0163998e-03  5.6843995e-04 -2.4062612e-03  1.9632340e-04
  2.8258937e-03  3.1126058e-03  9.6431316e-04 -1.1009792e-03
  1.9796909e-04 -3.4905381e-03  2.0993245e-03  3.7777913e-03
  2.1667874e-03  1.2558842e-03 -1.7775762e-03 -4.7463714e-04
  3.2294614e-03 -2.8910825e-03  2.1424030e-03 -2.2306063e-03
  2.1969699e-03 -4.7838497e-03  1.5184820e-04  3.0968820e-03
 -4.1651429e-04  4.9766032e-03 -3.2088386e-03  1.8673748e-03
  2.6104313e-03 -2.9822909e-03 -2.0293635e-03  4.2129160e-04
  2.2782684e-05 -8.6457463e-04 -1.0133490e-03 -4.6722498e-03
  2.3848433e-03 -2.7619905e-03  3.3748907e-03 -7.0747733e-06
  3.9611016e-03 -4.7826213e-03  1.8166071e-03 -3.0700273e-03
 -4.0102582e-03  2.2891718e-03  4.9798046e-03 -6.3330767e-04
 -1.2472994e-03  2.3674297e-03 -2.0515975e-03 -6.3218089e-04
  3.5741096e-03 -9.3713851e-04  9.5450046e-04 -3.9568199e-03
 -4.2265006e-03  3.7506551e-03  1.3534725e-04  4.6052746e-03
  5.4733572e-04  4.4383579e-03  1.8009811e-03 -3.5214447e-03
 -4.5798416e-03 -4.3283608e-03 -1.3743824e-03 -4.6602227e-03]",False,51Talk
18,2012.0,262000000.0,1,IND,5,"[ 2.4035592e-03  1.4315284e-03  7.1490707e-04 -3.4832186e-03
  1.5323323e-03  2.8273130e-03  1.4921070e-04 -9.1161189e-04
 -4.3316702e-03 -1.5943220e-03  2.4094582e-03 -1.2151480e-03
 -3.7130669e-03  1.7124783e-03 -1.2000239e-03  2.8764124e-03
 -1.0730571e-03 -3.7549827e-03 -4.8379721e-03  3.3445561e-03
 -2.5182199e-03  4.2691724e-03 -4.3328824e-03  3.9904756e-03
 -3.1311535e-03  1.3104141e-03  4.5108134e-03 -9.9021289e-04
  1.2001676e-03  3.0876501e-03  3.8362909e-03 -1.7699966e-03
 -2.7554305e-04  4.7337348e-03 -4.4284980e-03 -2.9461128e-03
  4.3946477e-03  3.9202548e-03  2.5945478e-03 -4.2259358e-03
 -2.5428939e-03  4.9800263e-03 -1.1591688e-03 -8.4128079e-04
  4.3124854e-04  4.3950481e-03 -1.4151940e-03 -3.1516734e-03
  1.7457217e-03  4.7095246e-03 -3.2290602e-03 -9.9786220e-04
 -3.9135073e-03  2.1991218e-03  3.9107972e-03  3.3747763e-03
 -3.9712405e-03  3.8083298e-03 -4.4153952e-03  3.8834512e-03
 -3.8806200e-05  3.5868019e-03 -3.3408790e-03  4.9650632e-03
  4.7597094e-03 -4.2331940e-03 -4.0872185e-03 -3.7559299e-04
 -2.6762965e-03  2.2069262e-03  1.9061118e-03  4.3746955e-03
 -4.6567135e-03 -3.2296311e-03  1.2139953e-03  4.2097932e-03
 -3.2946533e-03  3.2124084e-03 -2.8090787e-03 -2.5816173e-03
 -4.1104690e-03 -2.6579893e-03 -3.0503573e-03  4.6573509e-03
 -3.2128887e-03  6.7912281e-04 -1.3661811e-03  8.3498360e-04
  2.7220934e-03  2.1492005e-03 -4.1418830e-03  1.5536547e-04
 -2.1260916e-03 -3.0240410e-03  6.5806511e-05  3.6350733e-03
  6.2169135e-04  3.5791255e-03 -3.1926495e-03 -1.0512072e-03]",False,Embibe
19,1995.0,60000000.0,1,USA,5,"[-2.2750885e-04  2.0215034e-03 -1.7857590e-03 -1.0703078e-03
  4.1440487e-04  2.9673098e-04 -1.7742083e-03  2.7548373e-04
 -3.1131846e-03  8.5075495e-05 -1.3422116e-03 -2.3975402e-04
  2.9496574e-03  1.2964010e-05 -1.1861834e-03  1.9257611e-03
 -4.3089595e-03 -6.8573625e-04 -2.6072902e-03  1.8422126e-03
 -9.3656988e-04  1.7931068e-03 -1.8916256e-03  2.0545335e-03
  1.7025637e-03 -3.6859410e-03  3.9922952e-04 -1.0808823e-03
 -4.8875320e-03 -1.6210756e-03 -1.9783559e-03  9.8323938e-04
  4.9465504e-03 -1.8681460e-03  3.8362325e-03  8.9876889e-04
 -1.8301663e-03 -2.0257412e-03  4.0060137e-03 -3.7359095e-03
  1.1592269e-03 -2.0090116e-03 -4.9596252e-03 -1.4828694e-03
 -4.8328857e-03  2.4108791e-03 -1.2136877e-03 -9.0302975e-04
  1.8980557e-03  2.4352181e-03  2.2877574e-04 -9.6701505e-04
  8.7350607e-04 -2.9975164e-03 -9.8001899e-04  3.1611859e-03
  4.5485469e-03 -3.3726695e-03 -1.1352843e-03 -2.5322905e-03
  2.4241400e-03 -1.8362609e-03 -4.8035444e-03  4.1833936e-04
  3.5451353e-04 -3.6584109e-04  1.9689440e-03 -4.4926666e-03
  2.6942713e-03  4.5943796e-04 -3.7568992e-03  9.3985914e-04
 -4.1449312e-03  7.2456361e-04  1.7006326e-03  4.6211504e-03
 -2.4822766e-03 -2.6241750e-03 -4.2719720e-03  1.3975799e-04
  2.5429886e-03 -3.4450889e-03  1.3646561e-03 -8.5837068e-04
  2.0606862e-03 -2.7692961e-03  1.1227721e-03 -4.6406509e-04
 -2.8209982e-03 -1.2568734e-03 -1.6357607e-03  4.2870753e-03
 -1.3356507e-04  2.9121286e-03 -3.4172994e-03 -1.6398835e-03
 -2.9334284e-03 -4.4295886e-03 -1.0808170e-03  3.8964611e-03]",True,TrustWave Corporation
