org_uuid,network_has_facebook_url,network_has_linkedin_url,network_has_twitter_url,network_has_homepage,network_count_attend_top_event,network_has_description
9dc17185-743d-5fbc-f03b-ad0c81c8795d,0,0,0,0,0,1
9c8adac6-5c8e-9344-b763-6beab966c63c,0,0,0,1,0,1
6749cc07-efed-ff09-4efe-43faf6f580de,0,0,0,1,0,1
bbc29f4a-a798-4f74-f0a0-b1d8267692ac,0,0,0,1,0,1
9bbaf540-5994-029a-3346-501ad2d1fb89,0,1,1,1,0,1
45165225-a03d-42be-6af1-376341b7b815,0,0,0,0,0,1
ade298e4-0c78-7ce8-4693-b03f82336417,0,0,0,0,0,1
5e96c2a8-d04e-0f06-84da-f4bd4943f74d,0,0,0,1,0,1
db46f01e-b991-9b33-6de6-5a349b5bfdaa,0,1,0,1,0,1
540f9a7a-18d7-659a-a6d3-9abe42123df3,0,0,0,1,0,1
57267573-e339-efe8-8d23-b9c3783d091e,1,1,1,1,0,1
1e98b9e9-4584-a27f-b5dc-81253e7d5b17,0,1,0,0,0,1
d1875ddd-aa12-7c0d-3bf8-5fb700c2c603,0,1,0,1,0,1
f7c24f40-17a3-09cd-eb45-8164f5bffba6,1,1,1,1,0,1
e547a09f-cdd9-1d56-ebe9-e6b77ed35768,0,0,0,1,0,1
d199f821-3416-603c-bbf3-fd789068a7a1,0,0,0,1,0,1
8015015f-84dc-7a7b-0d3b-71f4a0664133,0,0,0,1,0,1
00771e9e-79d3-9afe-df5a-1d5f26dd30c8,0,0,0,1,0,1
72539c70-8051-32e9-dc09-2d8d200372b4,0,1,0,1,0,1
80a46d02-d7a6-1fce-45e0-94e2f05f5d15,0,0,1,1,0,1
e1ab5d23-2dfd-0a7d-11cc-8295526babdc,1,1,1,1,0,1
8ee83cce-4de4-184d-8e97-cf597404b135,0,0,0,1,0,1
1706abd0-6c2a-78ff-07ad-2790aee59787,0,0,0,1,0,1
c6c6ad17-cabc-370d-9dd8-c038d5bb1582,0,0,0,1,0,1
c9acb6b7-3503-cd20-14dc-730680bb583f,0,0,0,0,0,1
10672632-90fd-660e-02ba-e34863054960,0,0,0,1,0,1
032eea86-255c-8c0f-f333-8665f1fefa69,1,0,1,1,0,1
4df320e5-5473-1dd0-80ce-6de0c8d20754,0,0,1,1,0,1
63e70210-c8a5-b55e-6976-85c62ea52779,0,0,0,0,0,1
e1187dba-bd20-9a73-46f5-38142ffcb001,1,1,1,1,0,1
716de5ea-3a3e-fad9-c94a-0b5e05f33e8a,0,0,0,1,0,1
595e4d78-7322-c295-6797-9aba95ab880b,0,0,1,1,0,1
95449990-f122-cd0e-ce9b-0597aabfa9e5,0,0,0,1,0,1
1a2b0693-6195-502f-bfaa-2dbf0aa2d1c9,0,0,0,1,0,1
c5e90574-af36-af7a-79c3-6418c5cac2f8,0,0,1,1,0,1
856c4ff6-88cf-337f-7fac-6eba2b14a3d5,0,0,0,1,0,1
27998558-4c9f-7507-8f32-6048241eed55,0,0,0,1,0,1
8b4f1a77-a20e-8874-29fe-4805f636d7cc,0,1,0,1,0,1
a5dc05e2-cc07-4255-ede9-d617f85b3f50,0,1,0,0,0,1
5b2d898d-8510-7b03-af6d-ef8d800f65e2,0,0,0,1,0,1
69b7d3b4-3c5a-6713-66ed-c3b7c9d7158c,0,0,0,1,0,1
993fc5a4-2e2f-7ff4-0e2f-69dc2cf1ffbf,0,0,0,1,0,1
03880797-365e-7c44-6edc-6bc1f1d9f413,0,0,0,1,0,1
7deaa6de-f6d8-19ab-de1f-02df6aec1fab,1,1,1,1,0,1
59800a12-290f-76e9-153b-5315b9c71aed,0,0,0,1,0,1
9c3ae5de-5243-699d-6800-d6f8ada2e9cd,0,1,0,1,0,1
