name,region,type,category,year,rne,ose,sjc,ssr,zindex
Alabama,1,Total,Total,1996,,,6.131234037,0.802179724,
Alabama,1,Total,Total,1997,,,6.507193903,0.797267892,
Alabama,1,Total,Total,1998,0.0023,0.77638,5.954320168,0.821526936,-0.550552558
Alabama,1,Total,Total,1999,0.00206,0.82585,6.540875336,0.814954098,-0.339631327
Alabama,1,Total,Total,2000,0.00193,0.75509,4.982735397,0.775368249,-3.853652842
Alabama,1,Total,Total,2001,0.00218,0.75826,5.397487798,0.770332545,-3.253614959
Alabama,1,Total,Total,2002,0.00219,0.76817,5.100568315,0.783131038,-2.733918109
Alabama,1,Total,Total,2003,0.00171,0.8605,5.050082258,0.800615312,-1.798980398
Alabama,1,Total,Total,2004,0.00195,0.84154,5.624039752,0.801174599,-1.271346685
Alabama,1,Total,Total,2005,0.00177,0.79181,5.457125632,0.793775273,-2.766035231
Alabama,1,Total,Total,2006,0.00246,0.73579,5.409613909,0.804432394,-1.677480806
Alabama,1,Total,Total,2007,0.00173,0.74041,5.786416826,0.794706559,-3.44196883
Alabama,1,Total,Total,2008,0.00196,0.752,4.767490016,0.794712462,-3.201548204
Alabama,1,Total,Total,2009,0.0017,0.79729,3.771381636,0.75597574,-4.998762719
Alabama,1,Total,Total,2010,0.00224,0.80337,3.569997892,0.775533428,-3.054401129
Alabama,1,Total,Total,2011,0.00242,0.71126,3.716970937,0.770904042,-4.133259593
Alabama,1,Total,Total,2012,0.00247,0.73556,3.830684851,0.796811001,-2.637885039
Alabama,1,Total,Total,2013,0.00247,0.64316,3.909458247,0.791097761,-4.194555366
Alabama,1,Total,Total,2014,0.00223,0.68967,3.796522739,0.794196668,-3.972221113
Alabama,1,Total,Total,2015,0.00251,0.66449,3.683578277,0.795151185,-3.734618494
Alabama,1,Total,Total,2016,0.00229,0.72129,4.254321711,0.807603843,-2.663560681
Alabama,1,Total,Total,2017,0.00238,0.78906,4.344868362,0.800619435,-1.674598273
Alabama,1,Total,Total,2018,0.00209,0.84109,4.168755269,0.791143256,-1.97978324
Alabama,1,Total,Total,2019,0.00231,0.89712,4.660994934,0.813726716,0.41060299
Alabama,1,Total,Total,2020,0.00246,0.79873,4.13834554,0.772220345,-2.505826408
Alaska,2,Total,Total,1996,,,6.28523635,0.788488211,
Alaska,2,Total,Total,1997,,,6.948160426,0.788764045,
Alaska,2,Total,Total,1998,0.00604,0.73331,6.179710033,0.786023055,5.946464715
Alaska,2,Total,Total,1999,0.00524,0.72246,5.449927094,0.793571429,3.956839884
Alaska,2,Total,Total,2000,0.00523,0.75243,6.623001674,0.791765637,4.828289046
Alaska,2,Total,Total,2001,0.00511,0.76026,5.846485954,0.749019608,2.732303512
Alaska,2,Total,Total,2002,0.00517,0.83877,6.20390854,0.763621123,4.740977086
Alaska,2,Total,Total,2003,0.00492,0.81865,5.442510495,0.799295775,4.88528763
Alaska,2,Total,Total,2004,0.00456,0.80722,5.395230598,0.785656728,3.376893267
Alaska,2,Total,Total,2005,0.00448,0.78683,4.688535504,0.767102229,1.887886097
Alaska,2,Total,Total,2006,0.00369,0.82455,4.178871083,0.761752988,0.257281921
Alaska,2,Total,Total,2007,0.00357,0.834,5.252094664,0.732567678,-0.4939308
Alaska,2,Total,Total,2008,0.00351,0.78011,4.413379785,0.789695946,0.34313282
Alaska,2,Total,Total,2009,0.00373,0.75678,3.920474463,0.746005046,-1.367048727
Alaska,2,Total,Total,2010,0.00396,0.76006,3.59288986,0.754590985,-0.62531836
Alaska,2,Total,Total,2011,0.00393,0.80565,4.044989254,0.792470156,1.605570575
Alaska,2,Total,Total,2012,0.00424,0.79455,3.558114733,0.769980507,1.076618003
Alaska,2,Total,Total,2013,0.00438,0.7881,3.536987089,0.79665493,2.284617298
Alaska,2,Total,Total,2014,0.0045,0.741,3.225661872,0.790833333,1.496045927
Alaska,2,Total,Total,2015,0.00477,0.71319,3.015601398,0.784482759,1.355471612
Alaska,2,Total,Total,2016,0.00438,0.72391,3.553818433,0.744791667,-0.610732598
Alaska,2,Total,Total,2017,0.00404,0.79246,3.483844802,0.777988615,0.863678007
Alaska,2,Total,Total,2018,0.00411,0.82498,4.162232021,0.77393617,1.65340844
Alaska,2,Total,Total,2019,0.00442,0.85342,3.4173797,0.819467554,4.151692964
Alaska,2,Total,Total,2020,0.00479,0.78443,3.744744638,0.790849673,3.022310445
Arizona,4,Total,Total,1996,,,9.934727727,0.799715909,
Arizona,4,Total,Total,1997,,,7.950618431,0.790594271,
Arizona,4,Total,Total,1998,0.00399,0.82953,7.95193128,0.793400825,3.846318232
Arizona,4,Total,Total,1999,0.00335,0.82187,6.934758649,0.765815565,0.818531436
Arizona,4,Total,Total,2000,0.00345,0.88697,7.854340573,0.784332282,3.110550899
Arizona,4,Total,Total,2001,0.00344,0.81853,7.36800407,0.760650912,0.966714996
Arizona,4,Total,Total,2002,0.00377,0.78742,6.871988073,0.736539467,0.11977274
Arizona,4,Total,Total,2003,0.00355,0.7413,6.422806188,0.77028489,0.008529726
Arizona,4,Total,Total,2004,0.00327,0.76916,6.299974312,0.781419742,0.160605347
Arizona,4,Total,Total,2005,0.00323,0.73839,7.272553522,0.818022477,1.412311255
Arizona,4,Total,Total,2006,0.0032,0.73702,10.20178496,0.806723427,2.186937244
Arizona,4,Total,Total,2007,0.00336,0.7568,7.576753726,0.78044455,0.701826094
Arizona,4,Total,Total,2008,0.0042,0.8153,6.772539545,0.731652818,1.270756608
Arizona,4,Total,Total,2009,0.00469,0.83996,5.657122624,0.720584653,1.830210302
Arizona,4,Total,Total,2010,0.00439,0.79892,4.815385009,0.725263428,0.353079602
Arizona,4,Total,Total,2011,0.00435,0.7085,4.507277784,0.753001017,-0.178924191
Arizona,4,Total,Total,2012,0.00396,0.71936,4.655240643,0.775480966,0.017806146
Arizona,4,Total,Total,2013,0.00361,0.74981,4.588283256,0.765250813,-0.725118938
Arizona,4,Total,Total,2014,0.00314,0.8085,4.194244841,0.785178939,-0.328307366
Arizona,4,Total,Total,2015,0.0033,0.80778,4.66391085,0.771428571,-0.290679463
Arizona,4,Total,Total,2016,0.00397,0.82675,4.822886148,0.782561701,1.978814907
Arizona,4,Total,Total,2017,0.00393,0.89601,5.16609294,0.778424317,2.916607794
Arizona,4,Total,Total,2018,0.00346,0.85684,4.732959364,0.761266842,0.448619048
Arizona,4,Total,Total,2019,0.00331,0.87828,4.371185721,0.779620115,0.961841928
Arizona,4,Total,Total,2020,0.0038,0.81423,4.753415157,0.779074172,1.251573379
Arkansas,5,Total,Total,1996,,,6.517608702,0.780109328,
Arkansas,5,Total,Total,1997,,,6.070531969,0.770117012,
Arkansas,5,Total,Total,1998,0.00327,0.80994,5.238189704,0.776577918,0.120529843
Arkansas,5,Total,Total,1999,0.00325,0.78673,5.337762929,0.790830382,0.30816341
Arkansas,5,Total,Total,2000,0.00313,0.85005,5.84263052,0.786055923,1.02564349
Arkansas,5,Total,Total,2001,0.00341,0.89875,5.82708017,0.770079595,1.772027224
Arkansas,5,Total,Total,2002,0.003,0.88266,5.438062446,0.766823444,0.321657452
Arkansas,5,Total,Total,2003,0.00289,0.8025,5.573220357,0.795564666,0.018266914
Arkansas,5,Total,Total,2004,0.00296,0.76218,5.387524248,0.787085843,-0.825354052
Arkansas,5,Total,Total,2005,0.00384,0.80503,5.6218823,0.779348604,1.595577317
Arkansas,5,Total,Total,2006,0.00414,0.75166,6.626358504,0.793121238,2.429341467
Arkansas,5,Total,Total,2007,0.00382,0.79015,5.597388237,0.788645306,1.667003677
Arkansas,5,Total,Total,2008,0.00374,0.78564,5.350395227,0.781879711,1.058564455
Arkansas,5,Total,Total,2009,0.0036,0.77252,5.107629236,0.750376619,-0.738375924
Arkansas,5,Total,Total,2010,0.00381,0.73289,4.24098312,0.727816389,-2.085425113
Arkansas,5,Total,Total,2011,0.00361,0.71559,4.484016721,0.745904836,-2.006010779
Arkansas,5,Total,Total,2012,0.00331,0.82945,4.746010046,0.779873136,0.407785352
Arkansas,5,Total,Total,2013,0.00275,0.82497,4.536730418,0.769584469,-1.390393214
Arkansas,5,Total,Total,2014,0.00253,0.82488,3.795588854,0.772138607,-2.113798604
Arkansas,5,Total,Total,2015,0.00273,0.81371,4.134923279,0.786869648,-1.131381023
Arkansas,5,Total,Total,2016,0.00288,0.81958,4.092754383,0.778340264,-1.046678515
Arkansas,5,Total,Total,2017,0.00286,0.84164,3.948229877,0.783593357,-0.629481773
Arkansas,5,Total,Total,2018,0.00294,0.84545,4.356340846,0.78407297,-0.195044162
Arkansas,5,Total,Total,2019,0.00322,0.86749,4.227760151,0.776958683,0.436834513
Arkansas,5,Total,Total,2020,0.00334,0.91072,4.154069827,0.774479252,1.224246109
California,6,Total,Total,1996,,,9.449375952,0.759886351,
California,6,Total,Total,1997,,,9.612260785,0.733513058,
California,6,Total,Total,1998,0.00347,0.73888,9.48633088,0.759711283,0.741756134
California,6,Total,Total,1999,0.00344,0.74686,8.775760761,0.780612621,1.265457491
California,6,Total,Total,2000,0.00327,0.78832,10.08194751,0.778713118,2.004902469
California,6,Total,Total,2001,0.00309,0.81009,8.679892822,0.764786368,0.78856169
California,6,Total,Total,2002,0.00317,0.82293,8.029199948,0.752518858,0.413208607
California,6,Total,Total,2003,0.00348,0.79684,7.903518661,0.7878517,1.988297031
California,6,Total,Total,2004,0.00388,0.78758,7.877760792,0.800883991,3.223112434
California,6,Total,Total,2005,0.00362,0.78691,8.295619986,0.787810996,2.324310515
California,6,Total,Total,2006,0.0035,0.78784,7.820477507,0.804548484,2.48870457
California,6,Total,Total,2007,0.00356,0.79311,6.783003875,0.778520398,1.269907168
California,6,Total,Total,2008,0.00396,0.77475,6.317092972,0.770627859,1.391125897
California,6,Total,Total,2009,0.00417,0.76241,5.164871547,0.784728102,1.700290806
California,6,Total,Total,2010,0.00438,0.73531,4.899422291,0.746249374,0.206881736
California,6,Total,Total,2011,0.00441,0.74727,5.201792883,0.791760537,2.29197786
California,6,Total,Total,2012,0.00441,0.75705,5.704264693,0.827400239,3.995091973
California,6,Total,Total,2013,0.00417,0.77167,5.793712503,0.840395882,4.202584029
