name,year,rne
Alabama,1998,0.0023
Alabama,1999,0.00206
Alabama,2000,0.00193
Alabama,2001,0.00218
Alabama,2002,0.00219
Alabama,2003,0.00171
Alabama,2004,0.00195
Alabama,2005,0.00177
Alabama,2006,0.00246
Alabama,2007,0.00173
Alabama,2008,0.00196
Alabama,2009,0.0017
Alabama,2010,0.00224
Alabama,2011,0.00242
Alabama,2012,0.00247
Alabama,2013,0.00247
Alabama,2014,0.00223
Alabama,2015,0.00251
Alabama,2016,0.00229
Alabama,2017,0.00238
Alabama,2018,0.00209
Alabama,2019,0.00231
Alabama,2020,0.00246
Alaska,1998,0.00604
Alaska,1999,0.00524
Alaska,2000,0.00523
Alaska,2001,0.00511
Alaska,2002,0.00517
Alaska,2003,0.00492
Alaska,2004,0.00456
Alaska,2005,0.00448
Alaska,2006,0.00369
Alaska,2007,0.00357
Alaska,2008,0.00351
Alaska,2009,0.00373
Alaska,2010,0.00396
Alaska,2011,0.00393
Alaska,2012,0.00424
Alaska,2013,0.00438
Alaska,2014,0.0045
Alaska,2015,0.00477
Alaska,2016,0.00438
Alaska,2017,0.00404
Alaska,2018,0.00411
Alaska,2019,0.00442
Alaska,2020,0.00479
Arizona,1998,0.00399
Arizona,1999,0.00335
Arizona,2000,0.00345
Arizona,2001,0.00344
Arizona,2002,0.00377
Arizona,2003,0.00355
Arizona,2004,0.00327
Arizona,2005,0.00323
Arizona,2006,0.0032
Arizona,2007,0.00336
Arizona,2008,0.0042
Arizona,2009,0.00469
Arizona,2010,0.00439
Arizona,2011,0.00435
Arizona,2012,0.00396
Arizona,2013,0.00361
Arizona,2014,0.00314
Arizona,2015,0.0033
Arizona,2016,0.00397
Arizona,2017,0.00393
Arizona,2018,0.00346
Arizona,2019,0.00331
Arizona,2020,0.0038
Arkansas,1998,0.00327
Arkansas,1999,0.00325
Arkansas,2000,0.00313
Arkansas,2001,0.00341
Arkansas,2002,0.003
Arkansas,2003,0.00289
Arkansas,2004,0.00296
Arkansas,2005,0.00384
Arkansas,2006,0.00414
Arkansas,2007,0.00382
Arkansas,2008,0.00374
Arkansas,2009,0.0036
Arkansas,2010,0.00381
Arkansas,2011,0.00361
Arkansas,2012,0.00331
Arkansas,2013,0.00275
Arkansas,2014,0.00253
Arkansas,2015,0.00273
Arkansas,2016,0.00288
Arkansas,2017,0.00286
Arkansas,2018,0.00294
Arkansas,2019,0.00322
Arkansas,2020,0.00334
California,1998,0.00347
California,1999,0.00344
California,2000,0.00327
California,2001,0.00309
California,2002,0.00317
California,2003,0.00348
California,2004,0.00388
California,2005,0.00362
California,2006,0.0035
California,2007,0.00356
California,2008,0.00396
California,2009,0.00417
California,2010,0.00438
California,2011,0.00441
California,2012,0.00441
California,2013,0.00417
California,2014,0.00392
California,2015,0.00394
California,2016,0.00422
California,2017,0.00444
California,2018,0.00452
California,2019,0.00421
California,2020,0.00427
Colorado,1998,0.00446
Colorado,1999,0.00387
Colorado,2000,0.00402
Colorado,2001,0.00393
Colorado,2002,0.00407
Colorado,2003,0.00406
Colorado,2004,0.00388
Colorado,2005,0.00428
Colorado,2006,0.00401
Colorado,2007,0.00383
Colorado,2008,0.00349
Colorado,2009,0.00376
Colorado,2010,0.00419
Colorado,2011,0.00417
Colorado,2012,0.00415
Colorado,2013,0.00391
Colorado,2014,0.00351
Colorado,2015,0.00332
Colorado,2016,0.00345
Colorado,2017,0.0033
Colorado,2018,0.00351
Colorado,2019,0.00304
Colorado,2020,0.00349
Connecticut,1998,0.00218
Connecticut,1999,0.0018
Connecticut,2000,0.00206
Connecticut,2001,0.00271
Connecticut,2002,0.00248
Connecticut,2003,0.00229
Connecticut,2004,0.00187
Connecticut,2005,0.00216
Connecticut,2006,0.00264
Connecticut,2007,0.00265
Connecticut,2008,0.0027
Connecticut,2009,0.00262
Connecticut,2010,0.00273
Connecticut,2011,0.00287
Connecticut,2012,0.00297
Connecticut,2013,0.00311
Connecticut,2014,0.00295
Connecticut,2015,0.00289
Connecticut,2016,0.00266
Connecticut,2017,0.00234
Connecticut,2018,0.00196
Connecticut,2019,0.00189
Connecticut,2020,0.00282
Delaware,1998,0.00229
Delaware,1999,0.00174
Delaware,2000,0.00166
Delaware,2001,0.00168
Delaware,2002,0.00169
Delaware,2003,0.00153
Delaware,2004,0.00146
Delaware,2005,0.00159
Delaware,2006,0.00168
Delaware,2007,0.0016
Delaware,2008,0.00163
Delaware,2009,0.00194
Delaware,2010,0.00225
Delaware,2011,0.00263
Delaware,2012,0.00254
Delaware,2013,0.00275
Delaware,2014,0.0029
Delaware,2015,0.0024
Delaware,2016,0.00197
Delaware,2017,0.00162
Delaware,2018,0.00231
Delaware,2019,0.00247
Delaware,2020,0.00273
District of Columbia,1998,0.00266
District of Columbia,1999,0.00234
District of Columbia,2000,0.00284
District of Columbia,2001,0.00263
District of Columbia,2002,0.00328
District of Columbia,2003,0.00273
District of Columbia,2004,0.00252
District of Columbia,2005,0.00203
District of Columbia,2006,0.00233
District of Columbia,2007,0.00314
District of Columbia,2008,0.00351
District of Columbia,2009,0.00356
District of Columbia,2010,0.00316
District of Columbia,2011,0.0031
District of Columbia,2012,0.00289
District of Columbia,2013,0.00282
District of Columbia,2014,0.00246
District of Columbia,2015,0.00227
District of Columbia,2016,0.00215
District of Columbia,2017,0.0024
District of Columbia,2018,0.00273
District of Columbia,2019,0.00246
District of Columbia,2020,0.00244
Florida,1998,0.0034
Florida,1999,0.00318
Florida,2000,0.00295
Florida,2001,0.0029
Florida,2002,0.00284
Florida,2003,0.00286
Florida,2004,0.0029
Florida,2005,0.00288
Florida,2006,0.003
Florida,2007,0.00319
Florida,2008,0.00353
Florida,2009,0.00387
Florida,2010,0.00399
Florida,2011,0.00405
Florida,2012,0.00381
Florida,2013,0.00361
Florida,2014,0.00349
Florida,2015,0.00356
Florida,2016,0.00377
Florida,2017,0.00423
Florida,2018,0.00455
Florida,2019,0.00469
Florida,2020,0.00534
Georgia,1998,0.00317
Georgia,1999,0.00274
Georgia,2000,0.00275
Georgia,2001,0.00248
Georgia,2002,0.00219
Georgia,2003,0.00267
Georgia,2004,0.00301
Georgia,2005,0.00362
Georgia,2006,0.00384
Georgia,2007,0.00399
Georgia,2008,0.0047
Georgia,2009,0.0047
Georgia,2010,0.00505
Georgia,2011,0.00431
Georgia,2012,0.00376
Georgia,2013,0.00286
Georgia,2014,0.00288
Georgia,2015,0.00292
Georgia,2016,0.00331
Georgia,2017,0.00383
Georgia,2018,0.00416
Georgia,2019,0.00412
Georgia,2020,0.00364
Hawaii,1998,0.00215
Hawaii,1999,0.00262
Hawaii,2000,0.00269
Hawaii,2001,0.00261
Hawaii,2002,0.00272
Hawaii,2003,0.00267
Hawaii,2004,0.00268
Hawaii,2005,0.00272
Hawaii,2006,0.00327
Hawaii,2007,0.00324
Hawaii,2008,0.00272
Hawaii,2009,0.00231
Hawaii,2010,0.00232
Hawaii,2011,0.0023
Hawaii,2012,0.00273
Hawaii,2013,0.00308
Hawaii,2014,0.00354
Hawaii,2015,0.00331
Hawaii,2016,0.00311
Hawaii,2017,0.00271
Hawaii,2018,0.00301
Hawaii,2019,0.00335
Hawaii,2020,0.00407
Idaho,1998,0.00397
Idaho,1999,0.00378
Idaho,2000,0.00397
Idaho,2001,0.00423
Idaho,2002,0.004
Idaho,2003,0.00354
Idaho,2004,0.0038
Idaho,2005,0.00436
Idaho,2006,0.00437
Idaho,2007,0.00443
Idaho,2008,0.00396
Idaho,2009,0.00427
Idaho,2010,0.00391
Idaho,2011,0.00408
Idaho,2012,0.00394
Idaho,2013,0.00369
Idaho,2014,0.00331
Idaho,2015,0.00318
Idaho,2016,0.00324
Idaho,2017,0.00345
Idaho,2018,0.00379
Idaho,2019,0.00381
Idaho,2020,0.0038
Illinois,1998,0.0025
Illinois,1999,0.00229
Illinois,2000,0.00227
Illinois,2001,0.00243
Illinois,2002,0.00251
