fips,name,type,category,year,actualization,bf_per_capita,velocity,newness,index
1,Alabama,Total,Total,2005,0.204771751,0.140859402,1.171630654,,1.037311139
1,Alabama,Total,Total,2006,0.170334844,0.125059921,1.194259547,0.087600894,0.981797451
1,Alabama,Total,Total,2007,0.150445349,0.109162736,1.245212787,0.075280702,0.939951105
1,Alabama,Total,Total,2008,0.12471277,0.083972595,1.299593434,0.065142717,0.887913158
1,Alabama,Total,Total,2009,0.121516844,0.075431836,1.386807917,0.053535056,0.862966886
1,Alabama,Total,Total,2010,0.122041518,0.077150739,1.482174384,0.051971068,0.841386556
1,Alabama,Total,Total,2011,0.121996997,0.074493615,1.539182988,0.053154736,0.827652021
1,Alabama,Total,Total,2012,0.115823165,0.072140723,1.545934889,0.052869268,0.816937698
1,Alabama,Total,Total,2013,0.115026573,0.070350787,1.665317203,0.050792054,0.786683542
1,Alabama,Total,Total,2014,0.119544787,0.072245874,1.706380052,0.049705351,0.782774695
1,Alabama,Total,Total,2015,0.112039976,0.073469601,1.761983146,0.053855732,0.758183771
1,Alabama,Total,Total,2016,0.101628477,0.072498856,1.764541063,0.052199698,0.742914243
1,Alabama,Total,Total,2017,0.101707759,0.077095308,,0.051882784,
1,Alabama,Total,Total,2018,0.09580511,0.082472649,,0.055942722,
1,Alabama,Total,Total,2019,0.095028426,0.080111193,,,
1,Alabama,Total,Total,2020,0.079172996,,,,
2,Alaska,Total,Total,2005,,,,,
2,Alaska,Total,Total,2006,,,,,
2,Alaska,Total,Total,2007,,,,,
2,Alaska,Total,Total,2008,,,,,
2,Alaska,Total,Total,2009,,,,,
2,Alaska,Total,Total,2010,,,,,
2,Alaska,Total,Total,2011,,,,,
2,Alaska,Total,Total,2012,,,,,
2,Alaska,Total,Total,2013,,,,,
2,Alaska,Total,Total,2014,,,,,
2,Alaska,Total,Total,2015,,,,,
2,Alaska,Total,Total,2016,,,,,
2,Alaska,Total,Total,2017,0.135406764,0.134784372,,,
2,Alaska,Total,Total,2018,0.120684021,0.150719796,,0.074517347,
2,Alaska,Total,Total,2019,0.127651747,0.142301567,,,
2,Alaska,Total,Total,2020,0.123755514,,,,
4,Arizona,Total,Total,2005,0.217279637,0.212978866,1.56805272,,0.949061198
4,Arizona,Total,Total,2006,0.177163986,0.185963473,1.639542658,0.134063636,0.877975183
4,Arizona,Total,Total,2007,0.145154107,0.153250468,1.636312672,0.109752835,0.836142467
4,Arizona,Total,Total,2008,0.112203204,0.111060477,1.693806794,0.091559683,0.775578137
4,Arizona,Total,Total,2009,0.108113635,0.100013337,1.865794702,0.072679893,0.725988594
